ZONA,NomeZona,NumeroMuni,NomeMunici,NumDistrit,NomeDistri,Area_ha_2,indirect2,indirect,direct,d1cptm,d2cptm,d3cptm,Vol00_Vol00_sum,Vol05_Vol05_sum,Vol10_Vol10_sum,Vol15_Vol15_sum,Vol20_Vol20_sum,Vol95_Vol95_sum
471,São Lourenço da Serra,35,São Lourenço da Serra,131,São Lourenço da Serra,18674.34,0,0,0,0,0,0,1819004,2086898,2598029,3336258,4461075,1563744
472,Embu-Guaçu,10,Embu-Guaçu,106,Embu-Guaçu,7756.92,0,0,0,0,0,0,12625686,13611151,15126226,16814326,18188826,11891125
473,Cipó,10,Embu-Guaçu,106,Embu-Guaçu,2226.59,0,0,0,0,0,0,7308045,7955617,8836737,9717084,10193006,6442458
474,Santa Rita,10,Embu-Guaçu,106,Embu-Guaçu,5614.14,0,0,0,0,0,0,310483,407840,643196,958703,1489878,188004
475,Juquitiba,20,Juquitiba,116,Juquitiba,52333.22,0,0,0,0,0,0,4432920,4835470,5523671,6582542,8372380,3771810
476,Barueri,2,Barueri,98,Barueri,1469.12,0,0,0,0,0,0,47600161,49372561,51482238,53433234,54327437,46203488
477,Aphaville,2,Barueri,98,Barueri,1201.4,0,0,0,0,0,0,32686115,34624792,37114707,39536610,41292054,30378345
478,Tamboré,2,Barueri,98,Barueri,890.13,0,0,0,0,0,0,34322249,34865378,35410125,35969257,36188588,33954945
479,Antônio João,2,Barueri,98,Barueri,593.61,0,0,0,0,0,0,1043518,1089967,1175092,1257566,1342557,951646
480,Vutopoca,2,Barueri,98,Barueri,473.35,0,0,0,0,0,0,9995961,10876815,12147364,13491091,14229846,8836025
481,Jardim Silveira,2,Barueri,98,Barueri,312.03,0,0,0,0,0,0,18993378,19077955,19162585,19295152,19306617,18550527
482,Jardim Belval,2,Barueri,98,Barueri,350.02,0,0,0,0,0,0,13880391,14265445,14786212,15340532,15847257,13519745
483,Morada dos Lagos,2,Barueri,98,Barueri,1293.93,0,0,0,0,0,0,11047754,11504730,12110575,12773942,13137917,9576081
484,Cidade Ariston,6,Carapicuíba,102,Carapicuíba,790.35,0,0,0,0,0,0,46270593,46644710,47038618,47355438,47424443,44825838
485,Carapicuíba,6,Carapicuíba,102,Carapicuíba,776.67,0,0,0,0,0,0,33648994,33844233,34061817,34252780,34346080,33479099
486,Jardim Planalto,6,Carapicuíba,102,Carapicuíba,422.4,0,0,0,0,0,0,22354971,22819775,23335709,23753775,23962509,21958735
487,Aldeia de Carapicuíba,6,Carapicuíba,102,Carapicuíba,572.62,0,0,0,0,0,0,13610572,14328559,15192321,16202138,17223917,11927022
488,Estrada do Jacarandá,6,Carapicuíba,102,Carapicuíba,900.41,0,0,0,0,0,0,13250329,14737306,16788010,19077452,21025354,11424338
